,season,round,round_type,team,promoted,team_pos,pts,g_difference,win,draw,lose,goals_for,goals_against
262,2022,19,Regular Season,Hapoel Tel Aviv,0,11,18,-15,4,6,9,22,37
263,2022,19,Regular Season,Sekzia Ness Ziona,1,12,17,-11,3,8,8,20,31
264,2022,19,Regular Season,Ironi Kiryat Shmona,0,13,16,-7,2,10,7,20,27
265,2022,19,Regular Season,Maccabi Bnei Reineh,1,14,15,-18,3,6,10,16,34
266,2022,20,Regular Season,Maccabi Haifa,0,1,49,22,16,1,3,40,18
267,2022,20,Regular Season,Hapoel Beer Sheva,0,2,45,27,14,3,3,44,17
268,2022,20,Regular Season,Maccabi Tel Aviv,0,3,44,37,13,5,2,46,9
269,2022,20,Regular Season,Hapoel Jerusalem,0,4,28,5,7,7,6,25,20
270,2022,20,Regular Season,FC Ashdod,0,5,25,-2,6,7,7,22,24
271,2022,20,Regular Season,Beitar Jerusalem,0,6,24,-8,7,3,10,31,39
272,2022,20,Regular Season,Maccabi Netanya,0,7,24,-8,6,6,8,24,32
273,2022,20,Regular Season,Hapoel Hadera,0,8,24,-11,5,9,6,21,32
274,2022,20,Regular Season,Hapoel Haifa,0,9,23,-2,5,8,7,18,20
275,2022,20,Regular Season,Ihud Bnei Sakhnin,0,10,21,-6,5,6,9,17,23
276,2022,20,Regular Season,Hapoel Tel Aviv,0,11,19,-15,4,7,9,22,37
277,2022,20,Regular Season,Ironi Kiryat Shmona,0,12,17,-7,2,11,7,21,28
278,2022,20,Regular Season,Sekzia Ness Ziona,1,13,17,-14,3,8,9,20,34
279,2022,20,Regular Season,Maccabi Bnei Reineh,1,14,16,-18,3,7,10,16,34
280,2022,21,Regular Season,Maccabi Haifa,0,1,50,22,16,2,3,41,19
281,2022,21,Regular Season,Hapoel Beer Sheva,0,2,48,28,15,3,3,45,17
282,2022,21,Regular Season,Maccabi Tel Aviv,0,3,45,37,13,6,2,47,10
283,2022,21,Regular Season,Hapoel Jerusalem,0,4,28,3,7,7,7,25,22
284,2022,21,Regular Season,Beitar Jerusalem,0,5,27,-5,8,3,10,34,39
285,2022,21,Regular Season,Maccabi Netanya,0,6,27,-6,7,6,8,26,32
286,2022,21,Regular Season,FC Ashdod,0,7,26,-2,6,8,7,23,25
287,2022,21,Regular Season,Hapoel Hadera,0,8,25,-11,5,10,6,22,33
288,2022,21,Regular Season,Hapoel Haifa,0,9,24,-2,5,9,7,19,21
289,2022,21,Regular Season,Ihud Bnei Sakhnin,0,10,22,-6,5,7,9,18,24
290,2022,21,Regular Season,Hapoel Tel Aviv,0,11,20,-15,4,8,9,23,38
291,2022,21,Regular Season,Ironi Kiryat Shmona,0,12,17,-10,2,11,8,21,31
292,2022,21,Regular Season,Sekzia Ness Ziona,1,13,17,-15,3,8,10,20,35
293,2022,21,Regular Season,Maccabi Bnei Reineh,1,14,17,-18,3,8,10,17,35
294,2022,22,Regular Season,Maccabi Haifa,0,1,53,24,17,2,3,43,19
295,2022,22,Regular Season,Hapoel Beer Sheva,0,2,49,28,15,4,3,45,17
296,2022,22,Regular Season,Maccabi Tel Aviv,0,3,45,36,13,6,3,48,12
297,2022,22,Regular Season,Beitar Jerusalem,0,4,30,-4,9,3,10,36,40
298,2022,22,Regular Season,Maccabi Netanya,0,5,30,-5,8,6,8,28,33
299,2022,22,Regular Season,Hapoel Jerusalem,0,6,29,3,7,8,7,25,22
300,2022,22,Regular Season,Hapoel Haifa,0,7,27,0,6,9,7,21,21
301,2022,22,Regular Season,FC Ashdod,0,8,26,-3,6,8,8,24,27
302,2022,22,Regular Season,Hapoel Hadera,0,9,26,-11,5,11,6,22,33
303,2022,22,Regular Season,Ihud Bnei Sakhnin,0,10,23,-6,5,8,9,19,25
304,2022,22,Regular Season,Hapoel Tel Aviv,0,11,21,-15,4,9,9,23,38
305,2022,22,Regular Season,Maccabi Bnei Reineh,1,12,18,-18,3,9,10,18,36
306,2022,22,Regular Season,Ironi Kiryat Shmona,0,13,17,-12,2,11,9,21,33
307,2022,22,Regular Season,Sekzia Ness Ziona,1,14,17,-17,3,8,11,20,37
308,2022,23,Regular Season,Maccabi Haifa,0,1,53,22,17,2,4,44,22
309,2022,23,Regular Season,Hapoel Beer Sheva,0,2,49,27,15,4,4,45,18
310,2022,23,Regular Season,Maccabi Tel Aviv,0,3,48,37,14,6,3,49,12
311,2022,23,Regular Season,Maccabi Netanya,0,4,33,-4,9,6,8,30,34
312,2022,23,Regular Season,Hapoel Jerusalem,0,5,32,4,8,8,7,26,22
313,2022,23,Regular Season,Beitar Jerusalem,0,6,31,-4,9,4,10,36,40
314,2022,23,Regular Season,FC Ashdod,0,7,29,-1,7,8,8,27,28
315,2022,23,Regular Season,Hapoel Haifa,0,8,28,0,6,10,7,21,21
316,2022,23,Regular Season,Ihud Bnei Sakhnin,0,9,26,-4,6,8,9,22,26
317,2022,23,Regular Season,Hapoel Hadera,0,10,26,-13,5,11,7,23,36
318,2022,23,Regular Season,Hapoel Tel Aviv,0,11,24,-14,5,9,9,24,38
319,2022,23,Regular Season,Maccabi Bnei Reineh,1,12,18,-19,3,9,11,19,38
320,2022,23,Regular Season,Ironi Kiryat Shmona,0,13,17,-13,2,11,10,21,34
